last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Hader, Josh,623352,,97.4,,84,88.6,,,
Adam, Jason,592094,94.8,,,81.3,90,79.6,,
deGrom, Jacob,594798,98.9,,,92.6,92,83.4,,
Jiménez, Joe,641729,95.7,,,84.8,90.7,,,
Brash, Matt,666374,96.9,,,86.8,85.9,84.5,,
Díaz, Edwin,621242,99.1,,,90.8,,,,
Schmidt, Clarke,657376,94.7,94.9,,86.4,89.6,83.5,,
Kuhnel, Joel,669270,96.2,96,,86.8,90.2,,,
Phillips, Evan,623465,96,96.2,93.3,85.3,,,,
Clase, Emmanuel,661403,99.9,,99.5,91.9,,,,
Houck, Tanner,656557,95.2,94.5,,85.4,,,87.6,
Stephenson, Robert,596112,96.8,,,83.9,,77.5,88.1,
Davidson, Tucker,656353,93.2,93,,86.6,85.4,78.4,,
Bush, Matt,456713,97.3,,92.9,,,81,,
Pérez, Cionel,672335,97,96.5,,83.9,,,,
Chafin, Andrew,605177,91.6,91.6,,82.9,84.7,,,
Festa, Matthew,670036,92.6,92.5,,82.9,,,,
Banks, Tanner,621383,92.9,,,86.7,84.9,82.1,,
Stanek, Ryne,592773,98.3,,,87.1,,,88.6,
Rucker, Michael,621074,94.7,,88.8,86.4,90,80.6,,
Tepera, Ryan,572193,92.6,92.9,,85.2,85.8,81.6,,
Mayers, Mike,594577,93.5,92,88.3,84.4,86.7,77.2,,
Jackson, Zach,667427,94.5,,94.2,85.2,88.9,,,
Melancon, Mark,453343,91.7,,90.9,84.1,,81.7,83.7,
García, Rony,665621,92.9,92.5,,,87.5,80.3,,
Alvarado, José,621237,97.8,99.6,93.8,,,86.5,,
Swanson, Erik,657024,93.6,,,84.9,,,83.5,
Wilson, Steven,621051,95.1,,,82.2,85.1,,,
Elder, Bryce,693821,91.6,90.7,90.5,82.4,86,78.6,,
Kennedy, Ian,453178,93.4,,85.8,,85.7,79.6,,
Floro, Dylan,571670,92.4,92.6,,84.1,85.2,,,
Mantiply, Joe,573009,91,90.4,,,82.6,81.1,,
Clarke, Taylor,664199,95.6,,,88.4,89,,,
Martin, Chris,455119,95.3,94.6,91.7,84.1,,83.9,88.4,
Marte, Yunior,628708,97.8,96.9,,86,90.9,,,
Ober, Bailey,641927,91.5,,,82.9,84.3,76.7,,
Matz, Steven,571927,,94.5,,89.6,85.1,78,,
Hoffman, Jeff,656546,94.2,,,81.2,87.7,,,
Raley, Brooks,548384,90.5,90.7,88,81.4,85.5,80,,
De Los Santos, Enyel,660853,95.3,,,83.1,87.3,,,
Abbott, Cory,676265,91.3,,,86.6,,84.4,,
Bednar, David,670280,96.4,95.2,,,,77.1,89.8,
Rodríguez, Joely,570257,92.8,92.7,,83.9,87.8,,,
Castillo, Diego,650895,95.7,95.1,,88.4,,,,
Sawamura, Hirokazu,617228,95.9,,,85.8,,,92,
Farmer, Buck,571656,94.6,,,83.3,88.7,,,
Ramirez, Noé,598287,89.7,,,,84.1,78,,
Wantz, Andrew,681806,93.8,,87.9,81.3,86.9,,,
Leone, Dominic,608678,95.5,94.8,91.4,85.1,,,,
Domínguez, Seranthony,622554,97.6,98.2,92.9,89.5,92,,,
Lambert, Jimmy,669424,94.3,,,84.4,85.4,76.8,,
Familia, Jeurys,544727,95.4,95.2,,88.7,,,92.5,
Hand, Brad,543272,92.6,92.4,,79.3,,,,
Peralta, Wandy,593974,95.4,95.4,,87.6,88.6,,,
Effross, Scott,664123,90.8,90.3,,79.8,83,,,
Pruitt, Austin,643493,91.4,,,87.5,86.2,80.9,,
Garrett, Amir,607237,94.2,93.4,,84.7,,,,
Colomé, Alex,517008,94.5,,90.8,,,,,
Suarez, Robert,663158,97.9,97,93.6,,89.3,80.6,,
Gilbreath, Lucas,656458,93.8,,,82.7,,,85,
Knebel, Corey,608349,95.6,,,79.6,,78.7,,
Megill, Tylor,656731,95.7,,87.4,85.2,89.1,80.4,,
Chacín, Jhoulys,468504,92.6,92.9,,87,85.4,79.8,,
Leclerc, José,600917,96.5,,89.2,83.3,89.7,,,
